name,price,category,barcode,stock_qty,reorder_point,image_url
Milo 3-in-1 Sachet,0.80,drink,9556001234567,80,20,
Nescafe Original Sachet,0.90,drink,9556001234568,60,20,
Milo Can 240ml,2.50,drink,9556001234569,48,12,
100Plus Can 325ml,2.80,drink,9556001234570,36,12,
Chipster Original 60g,3.00,snack,9556001234571,30,8,
Twisties Curry 60g,3.20,snack,9556001234572,24,8,
Mamee Monster 25g,1.20,snack,9556001234573,50,15,
Jacobs Weetameal 4pcs,4.00,snack,9556001234574,20,6,
Maggi Kari 79g,1.90,instant,9556001234575,40,10,
Maggi Curry 79g,1.90,instant,9556001234576,40,10,
Maggi Asam Laksa 78g,2.10,instant,9556001234577,24,8,
Dutch Lady Full Cream 200ml,2.40,drink,9556001234578,28,8,
Yeos Chrysanthemum 300ml,2.30,drink,9556001234579,36,12,
Super 3-in-1 Kopi,1.00,drink,9556001234580,60,15,
Oreo Mini 25g,2.50,snack,9556001234581,30,10,
